Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2019-07-25,341.0,343.2,337.55,341.4,340.05282529634104,684937,5424,232914762.0,84619.0,12.35,5.65,0.4
2019-07-24,342.2,344.75,336.3,339.65,340.8285209746445,766187,7656,261138382.0,106698.0,13.93,8.45,-2.55
2019-07-23,352.8,353.1,341.05,342.05,346.1802094984084,929840,10996,321892206.0,151369.0,16.28,12.05,-10.75
2019-07-22,356.2,359.5,348.8,350.8,352.970596009866,1051694,10038,371217058.0,268818.0,25.56,10.7,-5.4
2019-07-19,364.65,365.9,355.15,356.0,358.7002183876803,533455,6597,191350425.0,126170.0,23.65,10.75,-8.65
2019-07-18,372.2,373.7,362.6,363.65,367.98511468458923,842441,7242,310005748.0,247377.0,29.36,11.1,-8.55
2019-07-17,364.55,373.5,363.2,372.15,368.94479779099277,652963,7557,240907302.0,165495.0,25.35,10.3,7.6
2019-07-16,358.8,365.85,357.55,364.25,363.7765901696851,467513,5638,170070285.0,141641.0,30.3,8.3,5.45
2019-07-15,364.1,364.65,357.6,359.95,359.7283518427328,1135189,7669,408359668.0,703496.0,61.97,7.05,-4.15
2019-07-12,363.35,366.4,361.5,363.55,363.8867538605195,472281,5623,171856800.0,116299.0,24.62,4.9,0.2
2019-07-11,358.0,364.0,357.05,363.1,360.2746847936013,738643,5886,266114374.0,183274.0,24.81,6.95,5.1
2019-07-10,360.3,361.7,351.35,354.2,353.7455817139506,1309501,9846,463230193.0,666834.0,50.92,10.35,-6.1
2019-07-09,355.0,360.0,352.6,359.15,357.160094996615,840451,8507,300175559.0,124693.0,14.84,7.4,4.15
2019-07-08,368.9,368.9,353.55,355.25,358.670516722048,901026,12106,323171461.0,198178.0,21.99,15.35,-13.65
2019-07-05,369.25,373.4,366.0,370.6,369.9330987316157,1784869,15203,660282120.0,442430.0,24.79,7.4,1.35
2019-07-04,367.0,370.7,366.3,367.3,368.7597453216333,849228,9234,313161101.0,185539.0,21.85,4.4,0.3
2019-07-03,366.0,366.55,363.15,366.15,365.2298910790414,484847,8363,177080617.0,117230.0,24.18,3.4,0.15
2019-07-02,362.5,365.0,360.35,364.5,362.7642484118192,530796,7068,192553812.0,144413.0,27.21,4.65,2.0
2019-07-01,362.2,362.95,358.55,361.5,360.6929638191216,385010,4705,138870398.0,67182.0,17.45,4.4,-0.7
2019-06-28,362.0,364.85,358.9,360.9,362.56918729575483,757668,6414,274707071.0,132946.0,17.55,5.95,-1.1
2019-06-27,358.0,363.0,357.4,362.05,360.57075505393243,825941,7492,297810170.0,216163.0,26.17,5.6,4.05
2019-06-26,355.55,359.0,354.65,358.0,356.96146047803046,638202,6218,227813518.0,173516.0,27.19,4.35,2.45
2019-06-25,353.25,356.9,351.25,356.5,354.16743126249656,591162,6451,209370327.0,166735.0,28.2,5.65,3.25
2019-06-24,350.0,354.55,349.75,353.25,352.30326350937486,839158,6670,295638102.0,225959.0,26.93,4.8,3.25
2019-06-21,345.0,350.45,343.25,349.45,347.9599186551943,840865,7777,292587317.0,202622.0,24.1,7.2,4.45
2019-06-20,342.0,346.2,335.8,345.05,341.1487046398857,688573,9057,234905787.0,119158.0,17.3,10.4,3.05
2019-06-19,343.6,345.1,335.7,338.85,340.229283181313,566810,5912,192845360.0,81221.0,14.33,9.4,-4.75
2019-06-18,335.05,343.9,333.75,340.25,339.61854473999557,1181672,8158,401317725.0,207854.0,17.59,10.15,5.2
2019-06-17,343.8,343.9,337.05,337.75,340.0259061000346,505325,4758,171823591.0,140629.0,27.83,6.85,-6.05
2019-06-14,346.2,346.35,342.7,343.85,344.5263155057148,556440,3875,191708223.0,128839.0,23.15,3.65,-2.35
2019-06-13,342.2,347.0,339.55,346.3,341.8107355337356,1997665,7231,682823343.0,1103572.0,55.24,7.45,4.1
2019-06-12,347.35,347.35,342.5,344.2,344.1768528843587,636710,4643,219140844.0,146851.0,23.06,4.85,-3.15
2019-06-11,344.0,348.2,342.85,347.35,345.737576872615,799537,6235,276429985.0,201837.0,25.24,5.35,3.35
2019-06-10,345.4,347.5,339.9,343.4,342.8216920085375,1179734,10077,404438406.0,286948.0,24.32,7.6,-2.0
2019-06-07,337.9,342.35,335.85,341.65,339.4220933042861,1187491,8956,403060681.0,169824.0,14.3,6.5,3.75
2019-06-06,349.8,349.8,336.1,337.05,343.3264708736073,1463518,11680,502464470.0,292103.0,19.96,13.7,-12.75
2019-06-04,354.3,357.15,351.35,352.35,354.5966947256997,2138824,9283,758419921.0,1171278.0,54.76,5.8,-1.95
2019-06-03,352.05,355.55,349.8,354.9,352.68122005907276,1028901,9413,362874060.0,229436.0,22.3,5.75,2.85
2019-05-31,354.1,357.8,345.0,352.55,352.54555323150646,1309018,16556,461488475.0,273997.0,20.93,12.8,-1.55
