Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2019-05-21,1453.0,1462.2,1437.1,1448.2,1448.4301422762562,244454,8783,354074542.0,114113.0,46.68,25.1,-4.8
2019-05-20,1396.6,1455.0,1396.6,1451.05,1433.3355386376409,535527,17407,767589881.0,326348.0,60.94,58.4,54.45
2019-05-17,1338.0,1371.0,1333.2,1361.9,1356.489656289219,148206,6953,201039906.0,53329.0,35.98,37.8,23.9
2019-05-16,1325.2,1346.0,1308.8,1336.9,1322.4575917444488,86245,3593,114055355.0,29392.0,34.08,37.2,11.7
2019-05-15,1343.5,1354.9,1321.5,1325.9,1338.575100040016,99960,3633,133803967.0,26066.0,26.08,33.4,-17.6
2019-05-14,1313.8,1345.6,1284.9,1341.5,1325.7427471892265,192029,9759,254581054.0,76330.0,39.75,60.7,27.7
2019-05-13,1354.0,1354.95,1310.0,1317.2,1325.9669811993442,210365,9358,278937044.0,83087.0,39.5,44.95,-36.8
2019-05-10,1364.4,1364.4,1345.8,1355.25,1354.406967966391,121872,4009,165064286.0,56170.0,46.09,18.6,-9.15
2019-05-09,1359.0,1368.0,1339.0,1356.7,1354.643027641773,122749,5025,166281077.0,48459.0,39.48,29.0,-2.3
2019-05-08,1361.05,1370.0,1355.05,1361.2,1364.2231579832403,71362,2545,97353693.0,26492.0,37.12,14.95,0.15
2019-05-07,1360.0,1374.3,1350.0,1366.65,1370.174184522838,214445,4014,293827003.0,151308.0,70.56,24.3,6.65
2019-05-06,1360.0,1364.75,1348.0,1351.25,1356.5825422644123,75004,2725,101749117.0,34106.0,45.47,16.75,-8.75
2019-05-03,1364.7,1373.2,1358.3,1361.0,1363.5745474902035,80385,2075,109610940.0,35381.0,44.01,14.9,-3.7
2019-05-02,1352.5,1376.45,1342.1,1358.95,1362.631171476374,96229,3229,131124635.0,32949.0,34.24,34.35,6.45
2019-04-30,1362.0,1365.05,1340.1,1347.75,1349.6894688240252,124535,4532,168083578.0,57053.0,45.81,24.95,-14.25
2019-04-26,1360.0,1366.85,1351.1,1355.5,1355.8404967321842,165401,3310,224257374.0,102986.0,62.26,15.75,-4.5
2019-04-25,1365.0,1381.0,1352.95,1355.35,1367.2039959179983,144047,7076,196941634.0,70775.0,49.13,28.05,-9.65
2019-04-24,1355.6,1363.2,1350.75,1360.35,1357.6998733405433,551084,5728,748206677.0,479634.0,87.03,12.45,4.75
2019-04-23,1364.7,1365.0,1337.3,1348.05,1353.2023062043686,226953,6572,307113323.0,153532.0,67.65,27.7,-16.65
2019-04-22,1361.0,1370.7,1353.45,1358.85,1363.6300269078667,545937,3977,744456086.0,469197.0,85.94,17.25,-2.15
2019-04-18,1382.5,1387.0,1359.0,1360.75,1365.592800610367,108787,3720,148558744.0,56088.0,51.56,28.0,-21.75
2019-04-16,1357.0,1390.45,1357.0,1382.5,1384.4387547873907,763725,9279,1057330488.0,560080.0,73.34,33.45,25.5
2019-04-15,1362.05,1367.6,1355.0,1357.85,1359.5503004098307,75397,2803,102506014.0,34132.0,45.27,12.6,-4.2
2019-04-12,1384.0,1384.0,1357.0,1361.05,1361.859550072569,206700,6262,281496369.0,146656.0,70.95,27.0,-22.95
2019-04-11,1371.5,1386.5,1371.5,1377.8,1380.1834886896631,67372,3033,92985722.0,30297.0,44.97,15.0,6.3
2019-04-10,1378.75,1382.0,1365.2,1369.85,1375.261202694792,309189,3842,425215636.0,221101.0,71.51,16.8,-8.9
2019-04-09,1375.0,1386.3,1366.6,1374.8,1373.7627591259427,133767,2979,183764123.0,45660.0,34.13,19.7,-0.2
2019-04-08,1375.1,1386.65,1366.35,1372.75,1373.265316345421,183660,2650,252213908.0,127628.0,69.49,20.3,-2.35
