Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10-October-2019,245.00,248.10,242.45,244.95,245.237634791796983056,401267,6288,98405770.00,81066,20.20,5.65,-0.05
9-October-2019,250.25,257.80,240.70,245.90,247.835635001411430776,1544532,15786,382790069.00,94047,6.09,17.10,-4.35
7-October-2019,213.15,256.45,203.70,251.50,234.063221105963951724,3132688,35345,733247044.00,176845,5.65,52.75,38.35
4-October-2019,249.90,253.70,233.00,236.80,243.503947800752754435,1418258,16280,345351422.00,143540,10.12,20.70,-13.10
3-October-2019,236.35,256.30,225.50,251.40,244.550485680752760112,1775652,23080,434236559.00,405866,22.86,30.80,15.05
1-October-2019,263.55,271.45,211.80,232.95,238.507686839406609716,2081935,24511,496557501.00,285854,13.73,59.65,-30.60
30-September-2019,273.00,275.05,251.60,265.30,261.409021295394860635,1222330,12359,319528089.00,117011,9.57,23.45,-7.70
27-September-2019,285.45,289.50,271.40,273.75,277.228897432425271859,1358792,15120,376696408.00,174863,12.87,18.10,-11.70
26-September-2019,275.00,289.45,270.35,286.70,278.365667932930201288,4426672,33365,1232233508.00,2716754,61.37,19.10,11.70
25-September-2019,289.30,293.30,268.85,271.90,277.935644776158883800,4914535,40340,1365924454.00,2431320,49.47,24.45,-17.40
24-September-2019,274.30,286.80,256.10,279.30,272.664396775664165650,5819369,46985,1586734738.00,2523113,43.36,30.70,5.00
23-September-2019,308.80,311.60,268.55,272.10,285.559224332580688006,1806960,18949,515994096.00,260232,14.40,43.05,-36.70
20-September-2019,309.20,316.45,272.00,301.10,282.446351273023833912,7960338,34396,2248368423.00,4805218,60.36,44.45,-8.10
19-September-2019,336.00,336.00,306.25,308.80,316.231316963141436407,585210,9230,185061729.00,92148,15.75,29.75,-27.20
18-September-2019,337.00,342.35,333.80,335.30,336.774924623115577889,119400,1584,40210926.00,13758,11.52,8.55,-1.70
17-September-2019,347.00,348.50,333.90,336.15,340.153478924546775890,164433,2034,55932457.00,18178,11.05,14.60,-10.85
16-September-2019,350.30,356.50,344.40,344.95,349.666951124903025601,167570,1988,58593691.00,13658,8.15,12.10,-5.35
13-September-2019,347.00,352.65,344.00,350.30,348.971040749657514814,246726,2964,86100229.00,27773,11.26,8.65,3.30
12-September-2019,355.60,359.00,335.50,346.45,347.604266223198599710,309079,3500,107437179.00,19000,6.15,23.50,-9.15
11-September-2019,366.55,367.20,352.40,354.45,358.231700251839532106,253733,3902,90895204.00,30902,12.18,14.80,-12.10
9-September-2019,363.90,367.10,357.20,363.05,362.304935086436445413,144962,1823,52520448.00,9472,6.53,9.90,-0.85
6-September-2019,361.30,366.60,358.80,361.35,362.178236209863168340,109843,2476,39782744.00,23282,21.20,7.80,0.05
5-September-2019,355.40,363.15,354.65,360.60,358.899646931925527424,149263,3390,53570438.00,5013,3.36,8.50,5.20
4-September-2019,363.50,366.25,348.55,355.40,355.062943082432618987,246286,2947,87447032.00,16220,6.59,17.70,-8.10
3-September-2019,371.70,371.70,359.45,361.00,364.053822030282844461,133607,2053,48640139.00,21930,16.41,12.25,-10.70
30-August-2019,363.60,376.20,362.25,373.45,368.415508688462765803,172355,3302,63498255.00,22892,13.28,13.95,9.85
29-August-2019,362.90,366.95,358.55,362.40,363.693513716054982546,101414,2090,36883614.00,13733,13.54,8.40,-0.50
28-August-2019,363.90,370.00,360.95,364.25,365.081271712811874934,189980,4308,69358140.00,32808,17.27,9.05,0.35
27-August-2019,364.00,367.40,361.50,363.95,364.761113129404926251,825780,3573,301212432.00,685661,83.03,5.90,-0.05
26-August-2019,354.00,369.40,346.75,364.85,357.104197316355519480,315392,5289,112627807.00,40598,12.87,22.65,10.85
23-August-2019,325.00,353.95,325.00,351.20,344.031004490114550517,361238,5602,124277072.00,55814,15.45,28.95,26.20
22-August-2019,344.90,344.90,323.50,328.40,334.805280467950422313,274559,3582,91923803.00,51592,18.79,21.40,-16.50
21-August-2019,350.90,351.75,342.75,344.05,346.679307782142477970,188380,3254,65307448.00,45409,24.10,9.00,-6.85
20-August-2019,348.05,354.85,346.80,350.55,350.678288171774934945,256708,2702,90021922.00,33022,12.86,8.05,2.50
19-August-2019,346.50,352.10,342.75,348.05,348.598608924868200784,320184,3234,111615697.00,60779,18.98,9.35,1.55
16-August-2019,342.00,347.40,336.35,346.50,343.227612998015722504,250469,3591,85967877.00,30736,12.27,11.05,4.50
14-August-2019,332.00,346.70,332.00,341.50,340.980486474360935221,392292,5073,133763917.00,42878,10.93,14.70,9.50
13-August-2019,330.00,337.50,325.60,327.40,332.202735025080452269,426029,4594,141527999.00,22994,5.40,11.90,-2.60
9-August-2019,332.30,338.70,324.65,328.25,332.031705933026130474,292532,3060,97129899.00,50953,17.42,14.05,-4.05
8-August-2019,321.05,334.40,320.25,332.30,329.060598446585459021,589025,5423,193824919.00,172162,29.23,14.15,11.25
7-August-2019,314.00,340.60,313.65,328.00,331.456416667675703601,991044,11524,328487893.00,102609,10.35,26.95,14.00
6-August-2019,328.90,328.90,305.05,312.50,313.916355706035332848,1174318,12418,368637627.00,124006,10.56,23.85,-16.40
5-August-2019,336.10,341.20,325.35,330.90,331.570096811482516135,415240,4928,137681167.00,35733,8.61,15.85,-5.20
2-August-2019,347.85,352.95,340.05,341.50,345.815040236867550656,516069,6573,178464422.00,32938,6.38,12.90,-6.35
1-August-2019,359.00,361.00,336.00,346.70,348.663567043684526657,1473405,18017,513722643.00,297835,20.21,25.00,-12.30
31-July-2019,381.50,391.65,357.55,361.45,367.660006730706249844,885494,9997,325560730.00,127375,14.38,34.10,-20.05
30-July-2019,389.90,392.10,379.00,381.20,386.354014353024118139,371629,3942,143580356.00,25744,6.93,13.10,-8.70
29-July-2019,405.00,405.00,384.30,387.35,390.892649979243568311,356516,4891,139359484.00,45039,12.63,20.70,-17.65
26-July-2019,390.55,405.50,389.65,403.95,400.569743826608888197,861682,12151,345163738.00,245217,28.46,15.85,13.40
25-July-2019,375.35,394.50,375.25,392.20,386.727569009071386456,739468,10131,285972662.00,97022,13.12,19.25,16.85
24-July-2019,366.00,383.55,358.55,379.25,373.363843260494769027,1165271,14366,435070059.00,99291,8.52,25.00,13.25
23-July-2019,363.50,367.15,354.75,360.95,359.799485041518956094,291674,4337,104944155.00,49381,16.93,12.40,-2.55
22-July-2019,350.10,366.70,349.60,363.35,362.968054554066925068,1374343,5512,498842605.00,1071577,77.97,17.10,13.25
19-July-2019,361.95,363.50,343.90,353.30,355.049862651191554846,347655,5368,123434860.00,33593,9.66,19.60,-8.65
18-July-2019,353.55,365.10,349.25,359.75,357.569220440997742924,431975,5002,154460964.00,81662,18.90,15.85,6.20
17-July-2019,345.10,356.05,345.10,353.55,352.399610326072962294,349523,7311,123171769.00,106509,30.47,10.95,8.45
16-July-2019,349.80,352.65,339.25,346.55,346.541336248767281148,270743,4442,93823641.00,38904,14.37,13.40,-3.25
15-July-2019,348.70,349.75,340.90,345.60,345.249856146469049694,458800,15074,158400634.00,202958,44.24,8.85,-3.10
